pruid,reporting_pt_en,reporting_pt_fr,date,num_confirmedcases_delta,num_confirmedcases_cumulative,num_hosp,num_icu,num_deaths,shaded
35,Ontario,Ontario,2022-07-29,11,495,,,,
24,Quebec,Québec,2022-07-29,4,373,,,,
1,Canada,Canada,2022-07-29,18,979,,,,
59,British Columbia,Colombie-Britannique,2022-07-30,4,94,,,,
35,Ontario,Ontario,2022-07-30,6,501,,,,
24,Quebec,Québec,2022-07-30,1,374,,,,
1,Canada,Canada,2022-07-30,11,990,,,,
48,Alberta,Alberta,2022-07-31,2,18,,,,
59,British Columbia,Colombie-Britannique,2022-07-31,3,97,,,,
35,Ontario,Ontario,2022-07-31,5,506,,,,
24,Quebec,Québec,2022-07-31,3,377,,,,
1,Canada,Canada,2022-07-31,13,1003,,,,
59,British Columbia,Colombie-Britannique,2022-08-01,2,99,,,,
13,New Brunswick,Nouveau-Brunswick,2022-08-01,1,1,,,,
35,Ontario,Ontario,2022-08-01,14,520,,,,
24,Quebec,Québec,2022-08-01,5,382,,,,
1,Canada,Canada,2022-08-01,22,1025,,,,
35,Ontario,Ontario,2022-08-02,6,526,,,,
24,Quebec,Québec,2022-08-02,2,384,,,,
1,Canada,Canada,2022-08-02,8,1033,,,,
48,Alberta,Alberta,2022-08-03,2,20,,,,
59,British Columbia,Colombie-Britannique,2022-08-03,2,101,,,,
35,Ontario,Ontario,2022-08-03,3,529,,,,
24,Quebec,Québec,2022-08-03,4,388,,,,
1,Canada,Canada,2022-08-03,11,1044,,,,
59,British Columbia,Colombie-Britannique,2022-08-04,2,103,,,,
12,Nova Scotia,Nouvelle-écosse,2022-08-04,1,1,,,,
35,Ontario,Ontario,2022-08-04,8,537,,,,
24,Quebec,Québec,2022-08-04,2,390,,,,
1,Canada,Canada,2022-08-04,13,1057,,,,
48,Alberta,Alberta,2022-08-05,1,21,,,,
59,British Columbia,Colombie-Britannique,2022-08-05,2,105,,,,
35,Ontario,Ontario,2022-08-05,7,544,,,,
24,Quebec,Québec,2022-08-05,1,391,,,,
1,Canada,Canada,2022-08-05,11,1068,,,,
48,Alberta,Alberta,2022-08-06,2,23,,,,
59,British Columbia,Colombie-Britannique,2022-08-06,1,106,,,,
35,Ontario,Ontario,2022-08-06,7,551,,,,
24,Quebec,Québec,2022-08-06,1,392,,,,
1,Canada,Canada,2022-08-06,11,1079,,,,
59,British Columbia,Colombie-Britannique,2022-08-07,4,110,,,,
35,Ontario,Ontario,2022-08-07,7,558,,,,
24,Quebec,Québec,2022-08-07,3,395,,,,
1,Canada,Canada,2022-08-07,14,1093,,,,
48,Alberta,Alberta,2022-08-08,4,27,,,,
59,British Columbia,Colombie-Britannique,2022-08-08,6,116,,,,
35,Ontario,Ontario,2022-08-08,5,563,,,,
24,Quebec,Québec,2022-08-08,4,399,,,,
1,Canada,Canada,2022-08-08,19,1112,,,,
48,Alberta,Alberta,2022-08-09,2,29,,,,
59,British Columbia,Colombie-Britannique,2022-08-09,2,118,,,,
46,Manitoba,Manitoba,2022-08-09,1,1,,,,
35,Ontario,Ontario,2022-08-09,10,573,,,,
24,Quebec,Québec,2022-08-09,3,402,,,,
1,Canada,Canada,2022-08-09,18,1130,,,,
48,Alberta,Alberta,2022-08-10,1,30,,,,
59,British Columbia,Colombie-Britannique,2022-08-10,1,119,,,,
35,Ontario,Ontario,2022-08-10,6,579,,,,
24,Quebec,Québec,2022-08-10,6,408,,,,
1,Canada,Canada,2022-08-10,14,1144,,,,
48,Alberta,Alberta,2022-08-11,2,32,,,,
59,British Columbia,Colombie-Britannique,2022-08-11,2,121,,,,
35,Ontario,Ontario,2022-08-11,7,586,,,,
24,Quebec,Québec,2022-08-11,2,410,,,,
1,Canada,Canada,2022-08-11,13,1157,,,,
59,British Columbia,Colombie-Britannique,2022-08-12,1,122,,,,
35,Ontario,Ontario,2022-08-12,7,593,,,,
24,Quebec,Québec,2022-08-12,4,414,,,,
1,Canada,Canada,2022-08-12,12,1169,,,,
59,British Columbia,Colombie-Britannique,2022-08-13,1,123,,,,
35,Ontario,Ontario,2022-08-13,7,600,,,,
24,Quebec,Québec,2022-08-13,4,418,,,,
1,Canada,Canada,2022-08-13,12,1181,,,,
35,Ontario,Ontario,2022-08-14,7,607,,,,
24,Quebec,Québec,2022-08-14,5,423,,,,
1,Canada,Canada,2022-08-14,12,1193,,,,
59,British Columbia,Colombie-Britannique,2022-08-15,5,128,,,,
35,Ontario,Ontario,2022-08-15,5,612,,,,
24,Quebec,Québec,2022-08-15,2,425,,,,
1,Canada,Canada,2022-08-15,12,1205,,,,
59,British Columbia,Colombie-Britannique,2022-08-16,2,130,,,,
35,Ontario,Ontario,2022-08-16,3,615,,,,
24,Quebec,Québec,2022-08-16,4,429,,,,
1,Canada,Canada,2022-08-16,9,1214,,,,
48,Alberta,Alberta,2022-08-17,1,33,,,,
59,British Columbia,Colombie-Britannique,2022-08-17,2,132,,,,
35,Ontario,Ontario,2022-08-17,7,622,,,,
1,Canada,Canada,2022-08-17,10,1224,,,,
48,Alberta,Alberta,2022-08-18,1,34,,,,
59,British Columbia,Colombie-Britannique,2022-08-18,2,134,,,,
35,Ontario,Ontario,2022-08-18,5,627,,,,
24,Quebec,Québec,2022-08-18,1,430,,,,
1,Canada,Canada,2022-08-18,9,1233,,,,
59,British Columbia,Colombie-Britannique,2022-08-19,3,137,,,,
35,Ontario,Ontario,2022-08-19,5,632,,,,
24,Quebec,Québec,2022-08-19,2,432,,,,
1,Canada,Canada,2022-08-19,10,1243,,,,
35,Ontario,Ontario,2022-08-20,3,635,,,,
24,Quebec,Québec,2022-08-20,2,434,,,,
1,Canada,Canada,2022-08-20,5,1248,,,,
35,Ontario,Ontario,2022-08-22,3,638,,,,
24,Quebec,Québec,2022-08-22,2,436,,,,
1,Canada,Canada,2022-08-22,5,1253,,,,
48,Alberta,Alberta,2022-08-23,1,35,,,,
59,British Columbia,Colombie-Britannique,2022-08-23,1,138,,,,
35,Ontario,Ontario,2022-08-23,5,643,,,,
24,Quebec,Québec,2022-08-23,3,439,,,,
1,Canada,Canada,2022-08-23,10,1263,,,,
48,Alberta,Alberta,2022-08-24,1,36,,,,
35,Ontario,Ontario,2022-08-24,1,644,,,,
24,Quebec,Québec,2022-08-24,3,442,,,,
1,Canada,Canada,2022-08-24,5,1268,,,,
59,British Columbia,Colombie-Britannique,2022-08-25,1,139,,,,
35,Ontario,Ontario,2022-08-25,1,645,,,,
1,Canada,Canada,2022-08-25,2,1270,,,,
59,British Columbia,Colombie-Britannique,2022-08-26,2,141,,,,
35,Ontario,Ontario,2022-08-26,3,648,,,,
24,Quebec,Québec,2022-08-26,1,443,,,,
1,Canada,Canada,2022-08-26,6,1276,,,,
59,British Columbia,Colombie-Britannique,2022-08-27,1,142,,,,
35,Ontario,Ontario,2022-08-27,4,652,,,,
24,Quebec,Québec,2022-08-27,2,445,,,,
